BYBERRY FRIENDS MEETINGHOUSE,3001 BYBERRY RD
BYRNE GOLF COURSE CLUBHOUSE,9550 LEON ST
C RIV'S PRECIOUS CHILDREN,5040-42 WAYNE AVE
CBS COMMUNITY CENTER & SYNAGOGUE,198 TOMLINSON RD
CCA BALDI MIDDLE SCHOOL,8725 VERREE RD
CCIS NE PHILADELPHIA LC,1926-38 GRANT AVE
CDC BAPTIST CHURCH,5447-49 HAVERFORD AVE
"CHOP KARABOTS PEDIATRIC CARE CENTER, WEST PHILADELPHIA",4865 MARKET ST
CHOP PRIMARY CARE,3520-50 MARKET ST
CHOP SPECIALTY CARE,3520-50 MARKET ST
CLOSED,4404-06 PAUL ST
CAFETERIA,2900 W QUEEN LN
CALCUTTA HOUSE,1221-33 N 19TH ST
CALVARY AME CHURCH,612 DICKINSON ST
CALVARY BAPTIST CHURCH,6122-30 HAVERFORD AVE
CALVARY CHRISTIAN CHURCH,6000 E ROOSEVELT BLVD
CALVARY CHURCH AT COTTMAN,1734 COTTMAN AVE
CALVARY CHURCH OF THE BRETHREN,1921-25 E VENANGO ST
CALVARY FELLOWSHIP,1526-28 W CUMBERLAND ST
CALVARY FELLOWSHIP GERMANTOWN,6144 BAYNTON ST
CALVARY GOSPEL CHAPEL,4115-21 W GIRARD AVE
CALVARY MEMORIAL CHURCH,7200-50 E ROOSEVELT BLVD
CALVARY TEMPLE CHRISTIAN ACADEMY,3301 S 20TH ST
CALVARY UNITED METHODIST CHURCH,4740 BALTIMORE AVE
CALVARY-ST. AUGUSTINE EPISCOPAL CHURCH,814-22 N 41ST ST
CALVERY UNITED CHURCH-CHRIST,2900-10 W LEHIGH AVE
CALVIN PRESBYTERIAN CHURCH,5931-43 MASTER ST
CAMBODIAN ASSOCIATION OF GREATER PHILADELPHIA,5408 N 5TH ST
CAMBODIAN BAPTIST CHURCH,2857 FRANKFORD AVE
CAMBODIAN BUDDHIST SOCIETY,1010 W DUNCANNON AVE
CAMELOT ACADEMY AT BOONE REMEDIAL DISCIPLINE,1435-45 N 26TH ST
CAMELOT SHOPPING CENTER,730-46 RED LION RD
CAMELOT THERAPEUTIC DAY SCHOOL OF WYNNEFIELD REMEDIAL DISCIPLINE,5330-98 WYNNEFIELD AVE
CAMPBELL AME CHURCH,1651 KINSEY ST
CAMPBELL SQUARE PARK,2525 E ALLEGHENY AVE
CAMPHOR MEMORIAL UNITED METHODIST CHURCH,5616-24 WYALUSING AVE
CAMPION STUDENT CENTER / DOYLE BANQUET HALL,5700-30 CITY AVE
CAMPUS CENTER,9801 FRANKFORD AVE
CAMPUS POLICE SUB-STATION,1801 N BROAD ST
CAMPUS SAFETY SERVICES,1801 N BROAD ST
CANAAN BAPTIST CHURCH,5430-44 PULASKI AVE
CANCER TREATMENT CENTER,1331 E WYOMING AVE
CAPITOLO PLAYGROUND,900 FEDERAL ST
CAPITOLO PLAYGROUND BUILDING,900 FEDERAL ST
CARDINAL BEVILACQUA COMMUNITY CENTER,2640-50 KENSINGTON AVE
CARDINAL DOUGHERTY HIGH SCHOOL,6350 N 2ND ST
CARDIOLOGY CONSULTANTS,1705 S BROAD ST
CARE TO LEARN,1227-31 N 52ND ST
CARE TO LEARN,5044 MARKET ST
CARETAKER'S HOUSE,9701 GERMANTOWN AVE
CARING CENTER PRE-K,3101-11 SPRING GARDEN ST
CARLISLE & HUNTING PARK,1421 W HUNTING PARK AVE
CARMELITE MONASTERY,6500-90 OLD YORK RD
CARMELLA PLAYGROUND,2100 WAKELING ST
CARMELLA PLAYGROUND BUILDING,2100 WAKELING ST
CARNELL HALL,1801 N BROAD ST
CARNIVORE KINGDOM,3400 W GIRARD AVE
CAROLYN LYNCH LABS,3401-99 SPRUCE ST
CAROUSEL,3400 W GIRARD AVE
CARPENTER SHOP,2035 S COLLEGE AVE
CARPENTER'S WOODS PARK,7001 WISSAHICKON AVE
CARPENTERS' HALL,320 CHESTNUT ST
CARRIAGE HOUSE,3300 W SCHOOL HOUSE LN
CARRIAGE HOUSE,9701 GERMANTOWN AVE
CARRIAGE HOUSE (LGBT CENTER),3401-99 SPRUCE ST
CARROLL PARK,5801 W GIRARD AVE
CARROLL PARK COBBS CREEK,7800 CITY AVE
CASA DE DIOS Y PUERTA DEL CIELO MOVIIMIENTO CRISTIANO PENTECOSTES,201 W ROCKLAND ST
CASA DEL CARMEN,4400-22 N 5TH ST
CASA DE ADORACION MINISTRIES,3520-24 N FRONT ST
CASCADES FOUNTAIN,2500 SPRING GARDEN ST
CASSIANO PARK,2301 N 4TH ST
CASSIANO PLAYGROUND,2315 N 4TH ST
CAST YOUR CARES,2436 KENSINGTON AVE
CASTOR BUILDING,3401-99 SPRUCE ST
CASTOR AVENUE POST OFFICE,6382 CASTOR AVE
CASTOR PLACE,7301 CASTOR AVE
CATALYST FOR CHANGE,3727 BARING ST
CATHARINE STREET PARK,2200 CATHARINE ST
CATHEDRAL BASILICA OF SAINTS PETERS & PAUL,209-25 N 18TH ST
CATHEDRAL OF FAITH,1800-36 W CAMBRIA ST
CATHEDRAL OF PRAISE COMMUNITY CHURCH,6400-10 HAVERFORD AVE
CATHERWOOD BUILDING,3400 W GIRARD AVE
CATHOLIC SOCIAL SERVICES,6212-16 GRAYS AVE
CATHOLIC TOTAL ABSTINENCE FOUNTAIN,S CONCOURSE DR & STATE DRS
CAYUGA ELEMENTARY SCHOOL,4344-58 N 5TH ST
CECIL B MOORE RECREATION CENTER,2020-50 W LEHIGH AVE
CECIL B. MOORE RECREATION CENTER BUILDING,2020-50 W LEHIGH AVE
CECIL B. MOORE SUBWAY STATION,1801 N BROAD ST
CEDAR GROVE CHRISTIAN ACADEMY LOWER SCHOOL,600 HELLERMAN ST
CEDAR GROVE CHURCH,401-07 E TABOR RD
CEDAR HILLS CEMETERY,5655 FRANKFORD AVE
CEDAR PARK,4917-53 BALTIMORE AVE
CEDAR PARK PRESBYTERIAN CHURCH,7700 LIMEKILN PIKE
CEDARS HOUSE,9001 LYKENS LN
CELESTIAL CHRISTIAN ACADEMY,2534 W THOMPSON ST
CELESTIAL CHURCH OF CHRIST,6100 CHANCELLOR ST
CELESTIAL CHURCH OF CHURCH,7030-34 ELMWOOD AVE
CELESTIAL SPIRITUALISTIC CHURCH,421 N PRESTON ST
CENTENNIAL HEALTHCARE AND REHABILITATION CENTER,4501 POPLAR ST
CENTER CITY PEDIATRICS,1740 SOUTH ST
CENTER TOWER,625-35 E WISTER ST
CENTER FOR BUSINESS AND INDUSTRY,1600 SPRING GARDEN ST
CENTRAL HIGH SCHOOL,1700 W OLNEY AVE
CENTRAL LIBRARY IT - 19TH STREET ANNEXCENTRAL LIBRARY,1901 VINE ST
CENTRAL LIBRARY WAREHOUSE - 20TH STREET ANNEX,1901 VINE ST
CENTRAL SQUARE,2453 GRANT AVE
CENTRAL UTILITY PLANT,4201-47 WOODLAND AVE
CENTER D'ADORATION CHRETIENNE,4530 BENNER ST
CENTER SQUARE,1500-42 MARKET ST
CHALFONT PLAYGROUND,11061 KNIGHTS RD
CHALFONT PLAYGROUND,4336 DEERPATH LN
CHALFONT PLAYGROUND BUILDING,11061 KNIGHTS RD
CHAMOUNIX NORTH SOFTBALL FIELD,3299 CHAMOUNIX DR
CHAMOUNIX SHED,3250 CHAMOUNIX DR
CHAMOUNIX SOUTH FIELDS,3701 CHAMOUNIX DR
CHAMOUNIX TENNIS COURTS 1,3601 CHAMOUNIX DR
CHAPEL,2035 S COLLEGE AVE
CHAPEL OF SAINT JOSEPH,5700-30 CITY AVE
CHARIOTEER OF DELPHINE,2500 SPRING GARDEN ST
CHARITY BAPTIST CHURCH,3000 N SYDENHAM ST
CHARLES CARROLL PUBLIC SCHOOL,2826 SALMON ST
CHARLES W. HENRY ELEMENTARY SCHOOL,601-47 CARPENTER LN
CHARTER HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,150 S INDEPENDENCE MALL W
CHELTEN CHRIST LITTLE PEOPLE KINDERGARTEN,601-05 E CHELTEN AVE
CHELTEN HILLS CEMETERY,1701-45 E WASHINGTON LN
CHELTENHAM ANIMAL HOSPITAL,1728 W CHELTENHAM AVE
CHELTENHAM NURSING & REHAB CENTER,600 W CHELTENHAM AVE
CHELWAYNE ANIMAL HOSPITAL,5524 WAYNE AVE
CHEMICAL HERITAGE FOUNDATION,321-23 CHESTNUT ST
CHEMISTRY 1973 WING,3401-99 SPRUCE ST
CHEMPIONS FOR CHRIST DC,6306 RISING SUN AVE
CHENREZIG TIBETAN BUDDHIST CENTER OF PHILADELPHIA,1417 N 2ND ST
CHERASHORE PLAYGROUND,851 W OLNEY AVE
CHERASHORE PLAYGROUND BUILDING,851 W OLNEY AVE
CHESTER A. ARTHUR SCHOOL,800 S 20TH ST
CHESTNUT HALL,3401-99 SPRUCE ST
CHESTNUT HILL ACADEMY,403 W SPRINGFIELD AVE
CHESTNUT HILL BAPTIST CHURCH,2 BETHLEHEM PIKE
CHESTNUT HILL CHURCH,1159-61 E CHELTEN AVE
CHESTNUT HILL COLLEGE,9701 GERMANTOWN AVE
CHESTNUT HILL FRIENDS MEETING,20 E MERMAID LN
CHESTNUT HILL HOSPITAL,8835 GERMANTOWN AVE
CHESTNUT HILL PLAZA,7640-52 GERMANTOWN AVE
CHESTNUT HILL SEVENTH-DAY ADVENTIST CHURCH,8700 GERMANTOWN AVE
CHESTNUT HILL UNITED CHURCH,8810-14 GERMANTOWN AVE
CHESTNUT HILL WATER TOWER,209-99 E HARTWELL LN
CHESTNUT PARK,1707 CHESTNUT ST
CHESTNUT SQUARE,3401-99 SPRUCE ST
CHEW PLAYGROUND,1800 WASHINGTON AVE
CHEW PLAYGROUND BUILDING,1800 WASHINGTON AVE
CHIEF JUSTICE JOHN MARSHALL,2500 SPRING GARDEN ST
CHILD CARE CENTER,1600 SPRING GARDEN ST
CHILD GUIDENCE RESSOURCE CENTERS,2901 ISLAND AVE
CHILDHOOD LEAD POISONING PREVENTION (BLDG #3),2100 W GIRARD AVE
CHILDREN AT PLAY,5800 WISSAHICKON AVE
CHILDREN'S COMMUNITY SCHOOL,4700 KINGSESSING AVE
CHILDREN'S GARDEN CHILDCARE & PRESCHOOL CENTER,6174-82 RIDGE AVE
CHILDREN'S PLACE PRESCHOOL,4815-19 LONGSHORE AVE
CHILDREN'S ZOO STRUCTURES,3400 W GIRARD AVE
CHILDRENS MISSION,2200-08 GERMANTOWN AVE
CHILDS DREAM DAYCARE,6329 WOODLAND AVE
CHILDS MEMORIAL BAPTIST CHURCH,951-63 N 10TH ST
CHINATOWN LEARNING CENTER,1034-36 SPRING ST
CHINESE CHRISTIAN CENTER PLAYGROUND,917 SPRING ST
CHINESE CHRISTIAN CHURCH & CENTER,221-25 N 10TH ST
CHINESE CHRISTIAN HERALD,1020 COTTMAN AVE
CHINESE CHURCH AND CENTER,1101-11 VINE ST
CHINESE GOSPEL CHURCH,218-22 N 12TH ST
CHINESE WATER STONE,BELMONT AVE & N HORTICULTURAL DR
CHOSEN 300,3959-61 LANCASTER AVE
CHOSEN 300 MINISTRIES,1116 SPRING GARDEN ST
CHOSEN GENERATION CHURCH FO GOD,5217 WOODLAND AVE
CHRIST APOSTOLIC CHURCH,5200-20 PASCHALL AVE
CHRIST APOSTOLIC CHURCH,5800-02 BALTIMORE AVE
CHRIST ASCENSION CHILD CARE CENTER,8300 GERMANTOWN AVE
CHRIST ASCENSION LUTHERAN CHURCH,8300 GERMANTOWN AVE
CHRIST ASSEMBLY LUTHERAN CHURCH,229-31 N 63RD ST
CHRIST BAPTIST CHURCH,218 N 62ND ST
CHRIST BAPTIST CHURCH,4036-50 ASPEN ST
CHRIST CENTER CHURCH OF GOD,1615-19 CHELTEN AVE
CHRIST CHURCH,22-34 N 2ND ST
CHRIST CHURCH & ST AMBROSE,600-10 W VENANGO ST
CHRIST CHURCH & ST MICHAEL'S,63 W TULPEHOCKEN ST
CHRIST CHURCH CEMETERY,420-24 ARCH ST
CHRIST CHURCH PARK,201-17 MARKET ST
CHRIST COMMUNITY BAPTIST CHURCH,1224-28 N 41ST ST
CHRIST COMMUNITY CHURCH,4017-21 CHESTNUT ST
CHRIST DELIVERANCE CENTER CHURCH,6224-26 W GIRARD AVE
CHRIST EVANGELICAL BAPTIST CHURCH,403 N 60TH ST
CHRIST FELLOWSHIP CHRISTIAN CHURCH!,1639 HARRISON ST
CHRIST HAVEN PENTECOSTAL CHURCH,6800 LINDBERGH BLVD
CHRIST HOLY PRAYER TEMPLE APOSTOLIC CHURCH,5461 SPRUCE ST
CHRIST INDEPENDENT BAPTIST ACADEMY,1618-20 WOMRATH ST
CHRIST INTERNATIONAL BAPTIST CHURCH,2210 S 65TH ST
CHRIST LUTHERAN CHURCH,3000-06 DIAMOND ST
CHRIST MEMORIAL BAPTIST CHURCH,2132-34 GERMANTOWN AVE
"CHRIST MISSION OF THE APOSTOLIC FAITH, INC.",1100 HARTEL AVE
CHRIST SCHOOL FOR LIVING,743 OAK LN
CHRIST TABERNACLE BAPTIST CHURCH,329 E PRICE ST
CHRIST TEMPLE CHURCH,307 W TABOR RD
CHRIST OF CALVARY CHURCH,500-06 S 61ST ST
CHRIST THE KING CHURCH,3201 CHESTERFIELD RD
CHRIST THE KING UKRAINIAN CHURCH,1621-25 W CAYUGA ST
CHRIST'S UNITED PRESBYTERIAN,1010 S 10TH ST
CHRISTIAN ASSOCIATION,3401-99 SPRUCE ST
CHRISTIAN CHURCH OF LATTER RAIN,6417 CALLOWHILL ST
CHRISTIAN COMPASSION BAPTIST CHURCH,1608-12 POINT BREEZE AVE
CHRISTIAN CONGREGATION OF US,1900-08 RIPLEY ST
CHRISTIAN FAITH BAPTIST CHURCH,6014-16 MARKET ST
CHRISTIAN FAITH EVANGELISTIC CHURCH,605-07 S 16TH ST
CHRISTIAN FELLOWSHIP BAPTIST,1925-27 TASKER ST
CHRISTIAN FELLOWSHIP CHURCH,2331-37 W CLEARFIELD ST
CHRISTIAN FELLOWSHIP COMMUNITY,4306 FAIRMOUNT AVE
CHRISTIAN HOPE BAPTIST CHURCH,921-29 N 26TH ST
CHRISTIAN LIGHT EDUCATIONAL ACADEMY,204 S 60TH ST
CHRISTIAN LOVE WORSHIP CENTER,815 W LEHIGH AVE
CHRISTIAN MISSION BAPTIST CHURCH,2131-33 SEYBERT ST
CHRISTIAN SCIENCE 6TH CHURCH,4720 LEIPER ST
CHRISTIAN STREET BAPTIST CHURCH,1020-24 CHRISTIAN ST
CHRISTIAN STREET YMCA,1718-44 CHRISTIAN ST
CHRISTIAN STRONGHOLD BAPTIST CHURCH,4655-61 LANCASTER AVE
CHRISTIAN UNION CHURCH,5535 WOODLAND AVE
CHRISTINE MANLEY HALL,2035 S COLLEGE AVE
CHRISTOPHER COLUMBUS CHARTER MIDDLE SCHOOL,1240-52 S 13TH ST
CHRISTOPHER COLUMBUS CHARTER SCHOOL (ANNEX),914-26 CHRISTIAN ST
CHRISTY RECREATION CENTER,728 S 55TH ST
CHRISTY RECREATION CENTER BUILDING,728 S 55TH ST
CHRYSANTHEMUM LANTERN,BELMONT AVE & N HORTICULTURAL DR
CHRYSANTHEMUM LANTERN (IN LANSDOWNE VALLEY),BELMONT AVE & N HORTICULTURAL DR
CHUA BO DE BUDDHIST TEMPLE,1114-20 S 13TH ST
CHUA QUAN AM BUDDHIDST TEMPLE,1235-39 RIDGE AVE
CHURCH OF THE APOSTLES & PROPHETS,5902 MARKET ST
CHURCH STATION,1553 CHURCH ST
CHURCH IN PHILADELPHIA,4336-38 PAUL ST
CHURCH OD GOD OF PROPHECY,2812 1/2 N FRONT ST
CHURCH OF BENAIAH,5030-36 N WARNOCK ST
CHURCH OF BROKEN PIECES,2127 72ND AVE
CHURCH OF CHRIST,5531 WARRINGTON AVE
CHURCH OF CHRIST,614 S 56TH ST
CHURCH OF CHRISTIAN COMPASSION,6127-37 CEDAR AVE
CHURCH OF CHRISTIAN COMPASSION,6136-38 CEDAR AVE
CHURCH OF DELIVERANCE,6222-32 DICKS AVE
CHURCH OF FAITH,770-78 N 38TH ST
"CHURCH OF FAITH, HOPE AND LOVE",4813-15 N BROAD ST
CHURCH OF GOD,1219-21 FITZWATER ST
CHURCH OF GOD & SAINTS-CHRIST,602-14 S BROAD ST
CHURCH OF GOD AT MT SINAI,1410 W YORK ST
CHURCH OF GOD NON-SECTARIAN,5101-03 HAVERFORD AVE
CHURCH OF GOD THROUGH THE TRUTH,1510-12 CAMBRIDGE ST
CHURCH OF GOD OF PROPHECY,4900-04 PARRISH ST
CHURCH OF GRACE,3301 WELLINGTON ST
CHURCH OF JESUS CHRIST,1670 ORTHODOX ST
CHURCH OF LOVE & FAITH OF LORD,1680-82 BRIDGE ST
CHURCH OF NEW HOPE & FAITH,661-63 N 39TH ST
CHURCH OF OUR LORD JESUS CHRIST,1601 W DAUPHIN ST
CHURCH OF PENTECOST,1301 S 26TH ST
CHURCH OF PRAISE & WORSHIP,641-51 W HUNTING PARK AVE
CHURCH OF SCIENTOLOGY OF PHILADELPHIA,1315-17 RACE ST
CHURCH OF ST ALBANS,532 FAIRTHORNE AVE
CHURCH OF ST ANDREWS & ST MONICA,3600-02 BARING ST
CHURCH OF ST MARKS,1607-27 LOCUST ST
CHURCH OF ST. JAMES THE LESS,3201 W HUNTING PARK AVE
CHURCH OF ST. MARTIN-IN-THE-FIELDS,401 W WILLOW GROVE AVE
CHURCH OF THE ADVOCATE,1801-19 DIAMOND ST
CHURCH OF THE ANNUCIATION,320-24 CARPENTER LN
CHURCH OF THE CRUCIFIXION,807-11 BAINBRIDGE ST
CHURCH OF THE GESU,1701-33 W GIRARD AVE
CHURCH OF THE HOLY TRINITY,1900 WALNUT ST
CHURCH OF THE LIVING GOD,1301 S 57TH ST
CHURCH OF THE LIVING GOD,1632 POPLAR ST
CHURCH OF THE LIVING GOD,2135-37 S 61ST ST
CHURCH OF THE LIVING GOD,2738-40 N 2ND ST
CHURCH OF THE LIVING GOD,737-41 N 43RD ST
CHURCH OF THE LIVING GOD,801-03 S 11TH ST
CHURCH OF THE LIVING WORD,2345-49 E SUSQUEHANNA AVE
CHURCH OF THE MESSIAH,198 HERMAN ST
CHURCH OF THE OPEN BIBLE,1900 E LOGAN ST
CHURCH OF THE REDEEMER,1440-46 S 24TH ST
CIANFRANI PARK,721 S 8TH ST
CIBOTTI RECREATION CENTER,2500 S 77TH ST
CIBOTTI RECREATION CENTER BUILDING,2500 S 77TH ST
CINEMA,3401-99 SPRUCE ST
CIONE PLAYGROUND & ARAMINGO SQUARE,2600 ARAMINGO AVE
CIONE PLAYGROUND BUILDING,2600 ARAMINGO AVE
CIRA CENTER SOUTH GARAGE,3401-99 SPRUCE ST
CIRCLE OF HOPE,2007-09 FRANKFORD AVE
CIRCLE OF HOPE,2309-13 N BROAD ST
CITIZENS BANK,15 S 52ND ST
CITIZENS BANK PARK,3601 S BROAD ST
CITY AVENUE SHOPPING CENTER,4000 MONUMENT RD
CITY AVENUE SHOPPING CENTER,7800 CITY AVE
CITY CENTER SHOPPING CENTER,4500 CITY AVE
CITY COMMISSIONERS STORAGE,520 N CHRISTOPHER COLUMBUS BLVD
CITY HALL,1400 JOHN F KENNEDY BLVD
CITY KIDS KINDERGARTEN,2311 S 13TH ST
CITY LINE SPORTS CENTER BUILDING,7800 CITY AVE
CITY REACH PHILADELPHIA CHRISTIAN CHURCH,6814-16 TORRESDALE AVE
CITY TEMPLE BAPTIST CHURCH,2512 N BROAD ST
CITY OF GOD PENTECOSTAL CHURCH,1441 HAINES ST
CITY OF PHLIA BOAT RAMP,9201 N DELAWARE AVE
CIVIC HOUSE,3401-99 SPRUCE ST
CIVICS AND SCIENCES CHARTER SCHOOL MATHEMATICS SCHOOL,447 N BROAD ST
CIVIL WAR SOLDIERS AND SAILORS MEMORIAL,20TH ST & THE BENJAMIN FRANKLIN PKWY
CIVIL WAR SOLDIERS' AND SAILORS' MONUMENT,BELMONT AVE & S GEORGES HILL DR
CLAIRE M. FAGIN HALL,3401-99 SPRUCE ST
CLARA (FELTONVILLE) BARTON ELEMENTARY SCHOOL,330 E WYOMING AVE
CLARA BALDWIN MANOR,2600 W SUSQUEHANNA AVE
CLARA BALDWIN NEIGHBORHOOD HOUSE,2643-45 W SEDGLEY AVE
CLARA MUHAMMAD SQUARE,4700-30 LANCASTER AVE
CLARENCE H CLARK PARK,1101 S 45TH ST
CLARKSON PARK,5401-55 N BROAD ST
CLARKSON/SHEVCHENKO PARK,5401-55 N BROAD ST
CLASS OF 1920 COMMONS,3401-99 SPRUCE ST
CLASS OF 1923 ICE RINK,3401-99 SPRUCE ST
CLASS OF 1925 HOUSE,3401-99 SPRUCE ST
CLAYBORN & LEWIS PLAYGROUND,1101 N 38TH ST
CLAYBORN-LEWIS PLAYGROUND BUILDING,1101 N 38TH ST
CLEARVIEW PARK,7600 BUIST AVE
CLEARVIEW UNITED METHODIST CHURCH,7601 BUIST AVE
CLEMENTE PLAYGROUND,1800 WALLACE ST
CLEMENTE PLAYGROUND BUILDING,1800 WALLACE ST
CLIFFORD PARK,6331 WISSAHICKON AVE
CLINICAL RESEARCH BUILDING,3401 CIVIC CENTER BLVD
CLIVEDEN HOUSE,6401 GERMANTOWN AVE
CLIVEDEN BUILDING,501 E JOHNSON ST
CLIVEDEN PARK,501 E JOHNSON ST
CLOVERLY PARK,5425 WISSAHICKON AVE
CLYDE F BARKER TRANSPLANT HOUSE,3940 SPRUCE ST
COBBS CREEK BATTING CAGE SHELTER,7800 CITY AVE
COBBS CREEK DRIVING RANGE & SPORTS CENTER,7800 CITY AVE
COBBS CREEK DRIVING RANGE SHELTER,7800 CITY AVE
COBBS CREEK ENVIRONMENTAL CENTER,6300 SPRUCE ST
COBBS CREEK GOLF COURSE & DRIVING RANGE,7800 CITY AVE
COBBS CREEK GOLF COURSE CAR BARN,7800 CITY AVE
COBBS CREEK GOLF COURSE MAINTENANCE BUILDING,7800 CITY AVE
COBBS CREEK GOLF COURSE PRO SHOP AND GRILL BUILDING,7800 CITY AVE
COBBS CREEK GOLF COURSE SHELTER 2,7800 CITY AVE
COBBS CREEK GOLF COURSE SNACK SHED 2,7800 CITY AVE
COBBS CREEK GOLF COURSE STORM SHELTER 1,7800 CITY AVE
COBBS CREEK PARK & RECREATION CENTER,6801 HAVERFORD AVE
COCKRELL CHRISTIAN SCHOOL,4512-16 LANCASTER AVE
COHEN HALL,3401-99 SPRUCE ST
COHOCKSINK RECREATION CENTER,2901 CEDAR ST
COHOCKSINK RECREATION CENTER BUILDING,2901 CEDAR ST
COLLEGE BUILDING,800-34 WALNUT ST
COLLEGE HALL,3401-99 SPRUCE ST
COLLEGE HALL,625-35 E WISTER ST
COLLICK MISSIONARY CHURCH,1246-56 S 17TH ST
COLONIAL DAMES OF AMERICAN,1619 SPRUCE ST
COLONIAL PENN,399 MARKET ST
COLONIAL PENN CENTER,3401-99 SPRUCE ST
COLONY CASTLE CANOE SHED 1,4910 RIDGE AVE
COLORADO ST MINI PARK,2400 N COLORADO ST
COLUMBIA FIELD,1001-33 CECIL B MOORE AVE
COLUMBIA NORTH YMCA,1400 N BROAD ST
COLUMBIA SOCIAL CLUB,3518-28 MERCER ST
CHRISTOPHER COLUMBUS CROSSING,1675 S CHRISTOPHER COLUMBUS BLVD
CHRISTOPHER COLUMBUS MONUMENT,2700 S BROAD ST
CHRISTOPHER COLUMBUS SQUARE,1200 WHARTON ST
COLUMBUS-DIPROSPERO PLAYGROUND BUILDING,1200 WHARTON ST
COMCAST CENTER,1726-32 ARCH ST
COMCAST INNOVATION TECHNOLOGY CENTER,1800 ARCH ST
COMHAR,100-12 W LEHIGH AVE
COMMODORE JOHN BARRY,500-36 CHESTNUT ST
COMMODORE JOHN BARRY ELEMENTARY SCHOOL,5900 RACE ST
COMMONWEALTH,1201-05 CHESTNUT ST
COMMONWEALTH CHATEAU,9701 GERMANTOWN AVE
COMMUNICATION CENTER,625-35 E WISTER ST
COMMUNITY ACADEMY OF PHILADELPHIA CHARTER SCHOOL,1100-40 E ERIE AVE
COMMUNITY BAPTIST CHURCH,428 N 40TH ST
COMMUNITY BIBLE DELIVERANCE,3949-57 HAVERFORD AVE
COMMUNITY BIBLE TABERNACLE,5220 WYNNEFIELD AVE
COMMUNITY CHURCH OF GOD,801 W OLNEY AVE
COMMUNITY CHURCH OF GOD,838 1/2 N 42ND ST
COMMUNITY COLLEGE (NORTHEAST),12901 TOWNSEND RD
COMMUNITY COLLEGE OF PHILADELPHIA (WEST PHILADELPHIA FACILITY),4721-23 CHESTNUT ST
COMMUNITY COLLEGE OF PHILADELPHIA - NORTHWEST REGIONAL CENTER,1210-16 W GODFREY AVE
COMMUNITY COLLEGE OF PHILADELPHIA MAIN CAMPUS,1600 SPRING GARDEN ST
COMMUNITY CONCERN CENTER,2721-27 CECIL B MOORE AVE
"COMMUNITY DEVELOPMENT OFFICE, NORTH HALLS",625-35 E WISTER ST
COMMUNITY GARDEN,1400-10 FRANKFORD AVE
COMMUNITY HOLINESS CHURCH,6222 LANSDOWNE AVE
COMMUNITY PARK,856 N LAWRENCE ST
COMMUNITY PARTNERSHIP SCHOOL ELEMENTARY SCHOOL,1922-42 JUDSON ST
COMMUNITY PRESCHOOL & NURSERY,4109-21 LANCASTER AVE
COMMUNITY WOMEN'S ED PROGRAM,2801 FRANKFORD AVE
COMPANION PET HOSPITAL,1524 S 5TH ST
COMPUTER KIDZ CHRISTIAN ACADEMY PRE-SCHOOL,2243-57 N 20TH ST
CONCORD BAPTIST CHURCH,1118 S 55TH ST
CONCORDIA PLAZA MEDICAL BUILDING,8400 BUSTLETON AVE
CONESTOGA COMMUNITY PLAYGROUND BUILDING,1452 N 53RD ST
CONESTOGA PLAYGROUND,5200 MEDIA ST
CONGREGATION AHAVAS TORAH,1425-29 RHAWN ST
CONGREGATION BETH YESHUA,7501 HAVERFORD AVE
CONGREGATION KESHER ISRAEL,412-24 LOMBARD ST
CONGREGATION MIKVEH ISRAEL,121 N INDEPENDENCE MALL E
CONGREGATION MIKVEH ISRAEL,5431-57 MARKET ST
CONGREGATION RODEPH SHALOM,609-17 N BROAD ST
CONGREGATION SHAARE HASHAMAYIM,9768 VERREE RD
CONGREGATION SHIVTEI YESHURON EZRAS ISRAEL,2015 S 4TH ST
CONGREGATION TEMPLE BETH EL,7350-80 LOWBER AVE
CONGREGATION OF YAHWEH,1805-07 E SERGEANT ST
CONGRESO DE LATINOS UNIDOS,217-31 W LEHIGH AVE
CONGRESS HALL,500-36 CHESTNUT ST
CONNELL PARK,6401 ELMWOOD AVE
CONNELLY LIBRARY,625-35 E WISTER ST
CONSHOHOCKEN PLAYGROUND,3910-18 CONSHOHOCKEN AVE
CONSHOHOCKEN PLAYGROUND BUILDING,3910-18 CONSHOHOCKEN AVE
CONSOLATION BAPTIST CHURCH,2500 WHARTON ST
CONSTITUTION HALL,2035 S COLLEGE AVE
CONSTITUTION HIGH SCHOOL,18-28 S 7TH ST
CONSULATE OF AUSTRIA,4222 PINE ST
CONVENANT HOUSE OF GOD,721 N 5TH ST
CONVENT LANE RESIDENCE BUILDING,4800 GRANT AVE
CONVENT OF THE SISTERS OF THE VISITATION,5848 CITY AVE
CONVENTION OF GLORY MINISTRIES,533-35 N 36TH ST
CONWELL HALL,1801 N BROAD ST
COOK-WISSAHICKON SCHOOL,531 RIGHTER ST
COOKIES DAY CARE CENTER,2135-37 S 17TH ST
COOPER CHURCH,6300 W GIRARD AVE
CORINTHIAN BAPTIST CHURCH,6121 N 21ST ST
CORINTHIAN EDUCATIONAL COMMUNITY CENTER PRE-K,6100 N 21ST ST
CORNERSTONE BAPTIST CHURCH,2117-27 N 33RD ST
CORNERSTONE CHRISTIAN ACADEMY,1939 S 58TH ST
